sheet,page,workdir,status,flags,head_r2,head_max_resid_pct,power_r2,power_max_resid_pct,eff_r2,eff_max_resid_pct,hyd_check_pts
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-025.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-025,review,head: gap of 20% of flow range in extracted points,0.9999977652952836,0.25322246371791773,0.9999389679887961,0.1433024201027856,0.9997834394392325,1.3813393676934502,0.6407033870660541
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-026.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-026,needs-axes,template roles not found: ['x (bottom:0)'],,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-027.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-027,ok,,0.9999934263192647,0.61191352669759,0.9999532551327522,0.09794477880356686,0.9999246545185952,1.1186571337488558,0.5611982020173585
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-028.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-028,ok,,0.9999959987992257,0.37245838629855926,0.9999499765281328,0.14115729690785422,0.9997741088699131,1.2509415087861506,0.5609362051426601
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-029.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-029,needs-axes,template roles not found: ['x (bottom:0)'],,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-030.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-030,ok,,0.9999960780444718,0.2960200336114757,0.9999768290336924,0.14919966045205413,0.9999188903397893,0.8544874010612344,0.4519903332917252
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-031.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-031,review,hydraulic check: Q*H/(135770*BHP) differs from digitized efficiency by up to 65.1 pts (axis assignment/units/SG?),0.9999948888727181,0.2923073167534772,0.9999823456305142,0.161157370708179,0.9998304215882925,1.3575669722343893,65.07097522636042
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-032.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-032,ok,,0.9999958145508702,0.2381891950644584,0.999951485016945,0.23189104298470048,0.9997648203677812,1.7592539906343028,0.6725296185954264
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-033.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-033,ok,,0.9999927540329375,0.5172583636069628,0.9999872174419769,0.10267699138961173,0.9998929874144579,1.0934884268235368,0.37971785506873346
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-034.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-034,needs-axes,"template roles not found: ['x (bottom:0)', 'eff (right:1)']",,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-035.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-035,ok,,0.999992700750896,0.6547009231127746,0.9999352353369669,0.10690137354646578,0.9999697909139945,0.701561693793635,0.4598904344497683
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-036.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-036,ok,,0.9999924360675011,0.6268533110208349,0.9999790955078899,0.09831644814106123,0.9999187336848384,1.000021227533062,0.39898157659931144
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-037.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-037,needs-axes,template roles not found: ['x (bottom:0)'],,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-038.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-038,ok,,0.9999966530789657,0.2782214369190446,0.999973113826639,0.11482948641721691,0.9999892167883846,0.2871365962511109,0.46012911216690355
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-039.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-039,ok,,0.99999424141705,0.5455753122197787,0.9999796921960531,0.13650135363071994,0.9999319120462504,1.0806626749646497,0.3551246552625784
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-040.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-040,ok,,0.9999934354160444,0.49512431299194987,0.9999520673896123,0.09025501859690754,0.999780289724471,1.6010557453501066,0.7015049376628752
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-041.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-041,ok,,0.9999901832483961,0.5792889863409872,0.9999843509396026,0.18384036614955412,0.999853951176305,1.0299278538015488,0.46313441095709607
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-042.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-042,ok,,0.9999932099164279,0.3789142845011055,0.9999762764409011,0.10276673872459964,0.999934232411931,0.736687826944854,0.4602099509513522
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-043.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-043,ok,,0.999994792515283,0.28990743139929553,0.99998152939451,0.08860158328920228,0.9998511858706113,0.8344772401530356,0.2992174476310083
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-044.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-044,ok,,0.9999953234234257,0.2996120576649871,0.9999409788204471,0.109400657799403,0.9998865972115558,0.6077621420542033,0.38561810682177367
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-045.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-045,ok,,0.9999932908868617,0.3467831497673343,0.9999855840985113,0.14229381620370318,0.9998419089357097,0.8271426020508491,0.23397616005662059
